Status,Station Name,Observation Date,Latitude,Longitude,Has Media,City,County,State,Characterize Land Use,Site Habitat,Wetland Origin,Water Presence,Water Source,Description,Directions To Site,Start Time,End Time,Was this observation completed in person or by listening to an audio device?,Air Temperature,Wind,Precipitation During Visit,Precipitation in the last 48 hours,The temperature the last 48 hours has been,Species,Call Intensity,Observation Notes
,CUVA: PV - Brookside (968),2017-03-24,41.359199,-81.605567,No,Independence,Cuyahoga,Ohio,Suburban,Freshwater Marsh,Artificially Altered,Permanent,Pond,Brookside Mitigation Area,Park at NPS access gate off Pleasant Valley Road.,10:30 PM,10:33 PM,,15.6,3 - GENTLE BREEZE:  leaves and twigs in constant motion; small flags extend,None,Some Precipitation,Above Freezing,Gray Treefrog,1 - Individuals can be counted; there is space between calls,
,CUVA: PV - Brookside (968),2017-03-24,41.359199,-81.605567,No,Independence,Cuyahoga,Ohio,Suburban,Freshwater Marsh,Artificially Altered,Permanent,Pond,Brookside Mitigation Area,Park at NPS access gate off Pleasant Valley Road.,10:30 PM,10:33 PM,,15.6,3 - GENTLE BREEZE:  leaves and twigs in constant motion; small flags extend,None,Some Precipitation,Above Freezing,Spring Peeper,1 - Individuals can be counted; there is space between calls,
,MCPD Plum Creek Pine Pond,2017-03-25,41.210446,-81.808288,No,Brunswick,Medina,Ohio,Park,Pond,Human-made,Permanent,Not Known,Medina County Park District Plum Creek North,"Park at Plum Creek North. Observe the pond from the yellow/red trail. Labeled ""Pine Pond"" on the park district trail maps. ",08:28 PM,08:31 PM,,13.9,3 - GENTLE BREEZE:  leaves and twigs in constant motion; small flags extend,None,Some Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,
,MCPD Plum Creek Wetland 01,2017-03-25,41.20749,-81.809272,No,Brunswick,Medina,Ohio,Park,Vernal Pool,Artificially Altered,Temporary Every Year,Not Known,Medina County Park District Plum Creek South. ,"Park at Plum Creek South. You can see the pond and wetland from the parking lot.  Walk a few paces on the trail. It is next to ""South Pond"" on the park district trail map. ",08:40 PM,08:43 PM,,13.9,3 - GENTLE BREEZE:  leaves and twigs in constant motion; small flags extend,None,Some Precipitation,Above Freezing,Spring Peeper,2 - Calls of individuals can be distinguished but there is some overlapping of calls,Heard Gray Treefrog and Wood Frog after monitoring time was over.
,MCPD Plum Creek South Pond ,2017-03-25,41.207563,-81.808682,No,Brunswick,Medina,Ohio,Suburban,Pond,Not Known,Permanent,Pond,Medina County Park District Plum Creek South,"Medina County Park District Plum Creek South parking lot, take trail",08:44 PM,08:47 PM,,13.9,3 - GENTLE BREEZE:  leaves and twigs in constant motion; small flags extend,None,Some Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,
,Broadview Heights Survey Station,2017-03-25,41.311802,-81.674051,No,Broadview Heights,Cuyahoga County,Ohio,Suburban,Ditch,Human-made,Not Known,Not Known,Appears to be a drainage ditch but has sinuosity of a substantial stream runs along woodlines of suburban habitat,This site is Private Property,08:25 PM,08:28 PM,,11.1,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,Some Precipitation,Above Freezing,Spring Peeper,"3 - Full chorus, calls are constant, continuous and overlapping",
,Broadview Heights Survey Station,2017-03-25,41.311802,-81.674051,No,Broadview Heights,Cuyahoga County,Ohio,Suburban,Ditch,Human-made,Not Known,Not Known,Appears to be a drainage ditch but has sinuosity of a substantial stream runs along woodlines of suburban habitat,This site is Private Property,08:25 PM,08:28 PM,,11.1,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,Some Precipitation,Above Freezing,Western Chorus Frog,1 - Individuals can be counted; there is space between calls,
,Broadview Heights Survey Station,2017-02-24,41.311802,-81.674051,No,Broadview Heights,Cuyahoga County,Ohio,Suburban,Ditch,Human-made,Not Known,Not Known,Appears to be a drainage ditch but has sinuosity of a substantial stream runs along woodlines of suburban habitat,This site is Private Property,08:25 PM,08:28 PM,,22.2,3 - GENTLE BREEZE:  leaves and twigs in constant motion; small flags extend,None,Some Precipitation,Above Freezing,Spring Peeper,"3 - Full chorus, calls are constant, continuous and overlapping",Frogs sounded as if they were in the adjacent woodlot to the west.
,Chuck's Backyard,2017-03-25,40.9831,-81.6419,No,Clinton,Summit,Ohio,Suburban,Ditch,Natural,Permanent,Stream or River,"This ditch runs into Pancake Creek and then Tuscarawas River.  There is also a pond in very close proximity and a wet, swampy area across the street.",,08:25 PM,08:28 PM,,16.7,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,No Precipitation,Above Freezing,Spring Peeper,2 - Calls of individuals can be distinguished but there is some overlapping of calls,
,Chuck's Backyard,2017-03-24,40.9831,-81.6419,No,Clinton,Summit,Ohio,Suburban,Ditch,Natural,Permanent,Stream or River,"This ditch runs into Pancake Creek and then Tuscarawas River.  There is also a pond in very close proximity and a wet, swampy area across the street.",,09:05 PM,09:08 PM,,18.9,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,Some Precipitation,Above Freezing,Spring Peeper,1 - Individuals can be counted; there is space between calls,
,MCPD Chippewa Inlet South Wetland 01,2017-03-25,41.07891,-81.91251,No,Chippewa Lake,Medina,Ohio,Rural,Swamp or Woodland Swamp,Artificially Altered,Temporary Some Years,Stream or River,,,08:30 PM,08:33 PM,,13.3,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Some Precipitation,Above Freezing,American Toad,"3 - Full chorus, calls are constant, continuous and overlapping",Saw American Toad in the parking lot and Green Frog on the trail.
,MCPD Chippewa Inlet South Wetland 01,2017-03-25,41.07891,-81.91251,No,Chippewa Lake,Medina,Ohio,Rural,Swamp or Woodland Swamp,Artificially Altered,Temporary Some Years,Stream or River,,,08:30 PM,08:33 PM,,13.3,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Some Precipitation,Above Freezing,Western Chorus Frog,"3 - Full chorus, calls are constant, continuous and overlapping",Saw American Toad in the parking lot and Green Frog on the trail.
,MCPD Chippewa Inlet South Wetland 01,2017-03-25,41.07891,-81.91251,No,Chippewa Lake,Medina,Ohio,Rural,Swamp or Woodland Swamp,Artificially Altered,Temporary Some Years,Stream or River,,,08:30 PM,08:33 PM,,13.3,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Some Precipitation,Above Freezing,Spring Peeper,"3 - Full chorus, calls are constant, continuous and overlapping",Saw American Toad in the parking lot and Green Frog on the trail.
,MCPD Chippewa Inlet South Wetland 01,2017-03-23,41.07891,-81.91251,No,Chippewa Lake,Medina,Ohio,Rural,Swamp or Woodland Swamp,Artificially Altered,Temporary Some Years,Stream or River,,,08:25 PM,08:28 PM,,7.2,3 - GENTLE BREEZE:  leaves and twigs in constant motion; small flags extend,None,No Precipitation,Above Freezing,Wood Frog,1 - Individuals can be counted; there is space between calls,
,MCPD Chippewa Inlet South Wetland 01,2017-03-23,41.07891,-81.91251,No,Chippewa Lake,Medina,Ohio,Rural,Swamp or Woodland Swamp,Artificially Altered,Temporary Some Years,Stream or River,,,08:25 PM,08:28 PM,,7.2,3 - GENTLE BREEZE:  leaves and twigs in constant motion; small flags extend,None,No Precipitation,Above Freezing,Spring Peeper,2 - Calls of individuals can be distinguished but there is some overlapping of calls,
,CUVA: Vk Lake,2017-03-24,41.217549,-81.525343,No,Peninsula,Summit,Ohio,Rural,,Artificially Altered,Permanent,Stream or River,VK Lake Cove,VK Lake Parking Area,08:25 PM,08:28 PM,,19.4,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,Some Precipitation,Not Noted,Wood Frog,1 - Individuals can be counted; there is space between calls,
,CUVA: Vk Lake,2017-03-24,41.217549,-81.525343,No,Peninsula,Summit,Ohio,Rural,,Artificially Altered,Permanent,Stream or River,VK Lake Cove,VK Lake Parking Area,08:25 PM,08:28 PM,,19.4,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,Some Precipitation,Not Noted,Spring Peeper,"3 - Full chorus, calls are constant, continuous and overlapping",
,CUVA: Beaver Marsh,2017-03-24,41.187918,-81.579789,No,Peninsula,Summit,Ohio,Rural,Freshwater Marsh,Formed by a Beaver Dam,Permanent,Precipitation or Runoff,,,08:30 PM,08:33 PM,,20.6,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Some Precipitation,Below Freezing,Spring Peeper,"3 - Full chorus, calls are constant, continuous and overlapping",chorus frog heard walking to monitor location
,CUVA: Beaver Marsh,2017-02-24,41.187918,-81.579789,No,Peninsula,Summit,Ohio,Rural,Freshwater Marsh,Formed by a Beaver Dam,Permanent,Precipitation or Runoff,,,06:52 PM,06:55 PM,,21.7,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Some Precipitation,Above Freezing,Spring Peeper,"3 - Full chorus, calls are constant, continuous and overlapping",
,Cuyahoga Falls Little League Complex,2017-03-24,41.1779,-81.4909,No,Stow,Summit,Ohio,"JUst on the outskirts of suburbs, but not quite rural",Pond,Natural,Permanent,Pond,"Pond and marsh on both sides of Wyoga Lake Road, whole area is full of widllife",,08:32 PM,08:35 PM,,19.4,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,Some Precipitation,Above Freezing,Spring Peeper,2 - Calls of individuals can be distinguished but there is some overlapping of calls,
,Cuyahoga Falls Little League Complex,2017-02-27,41.1779,-81.4909,No,Stow,Summit,Ohio,"JUst on the outskirts of suburbs, but not quite rural",Pond,Natural,Permanent,Pond,"Pond and marsh on both sides of Wyoga Lake Road, whole area is full of widllife",,07:25 PM,07:28 PM,,5,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,Some Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,
,CUVA: Krejci Remediation (1622-1629),2017-03-24,41.264381,-81.53804,No,Boston Heights,Summit,Ohio,Rural,,Human-made,Temporary Every Year,Precipitation or Runoff,Old Krejci Dump,Park Roadside on Hines Hill,08:15 PM,08:18 PM,,20,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,Some Precipitation,Above Freezing,Western Chorus Frog,1 - Individuals can be counted; there is space between calls,
,CUVA: Krejci Remediation (1622-1629),2017-03-24,41.264381,-81.53804,No,Boston Heights,Summit,Ohio,Rural,,Human-made,Temporary Every Year,Precipitation or Runoff,Old Krejci Dump,Park Roadside on Hines Hill,08:15 PM,08:18 PM,,20,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,Some Precipitation,Above Freezing,Spring Peeper,"3 - Full chorus, calls are constant, continuous and overlapping",
,CUVA: Krejci Remediation (1622-1629),2017-02-24,41.264381,-81.53804,No,Boston Heights,Summit,Ohio,Rural,,Human-made,Temporary Every Year,Precipitation or Runoff,Old Krejci Dump,Park Roadside on Hines Hill,07:40 PM,07:43 PM,,19.4,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Some Precipitation,Above Freezing,Western Chorus Frog,1 - Individuals can be counted; there is space between calls,Only a couple individuals heard
,CUVA: Krejci Remediation (1622-1629),2017-02-24,41.264381,-81.53804,No,Boston Heights,Summit,Ohio,Rural,,Human-made,Temporary Every Year,Precipitation or Runoff,Old Krejci Dump,Park Roadside on Hines Hill,07:40 PM,07:43 PM,,19.4,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Some Precipitation,Above Freezing,Spring Peeper,1 - Individuals can be counted; there is space between calls,Only a couple individuals heard
,MCPD Mugrage Forebay 01,2017-03-24,41.139211,-81.780582,No,Medina,Medina,Ohio,Park,Swamp or Woodland Swamp,Human-made,Permanent,Groundwater,Medina County Park District Carolyn Ludwig Mugrage Park. The runoff water from the sledding hill is routed underground to the forbay. From there the water drains to the fishing pond. ,"Park in lower parking lot of Mugrage Park by the playground. Walk northeast on the trail, away from the open air shelter. Forbay is obvious with wood duck boxes.",08:27 PM,08:30 PM,,20,3 - GENTLE BREEZE:  leaves and twigs in constant motion; small flags extend,None,Much Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,
,MCPD Mugrage Pond 01,2017-03-24,41.138966,-81.780637,No,Medina,Medina,Ohio,Park,Pond,Human-made,Permanent,Pond,Catch and release pond. Pond was made 2013/2014,Park in lower parking lot.,08:32 PM,08:35 PM,,20,3 - GENTLE BREEZE:  leaves and twigs in constant motion; small flags extend,None,Much Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,Peepers heard in field behind the pond (not survey area)
,Csipke Property,2017-03-24,41.1619,-81.5356,No,Cuyahoga Falls,Summit,Ohio,Suburban,Swamp or Woodland Swamp,Not Known,Permanent,Pond,"7 Acres recently (last 20 years) surrounded by development.  Combination of pasture, wetlands, and oak and pine trees.",,08:24 PM,08:27 PM,,15.6,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,Light Rain or Drizzle,Some Precipitation,Above Freezing,Spring Peeper,2 - Calls of individuals can be distinguished but there is some overlapping of calls,
,Nimisila Reservoir,2017-03-24,40.940501,-81.51896,No,Green,Summit,Ohio,Suburban,Freshwater Marsh,Human-made,Permanent,Lake,,,08:16 PM,08:19 PM,,18.9,3 - GENTLE BREEZE:  leaves and twigs in constant motion; small flags extend,Light Rain or Drizzle,Some Precipitation,Above Freezing,American Bullfrog,1 - Individuals can be counted; there is space between calls,
,Nimisila Reservoir,2017-03-24,40.940501,-81.51896,No,Green,Summit,Ohio,Suburban,Freshwater Marsh,Human-made,Permanent,Lake,,,08:16 PM,08:19 PM,,18.9,3 - GENTLE BREEZE:  leaves and twigs in constant motion; small flags extend,Light Rain or Drizzle,Some Precipitation,Above Freezing,Spring Peeper,2 - Calls of individuals can be distinguished but there is some overlapping of calls,
,Stanford (540),2017-03-23,41.27617,-81.557652,No,Boston Heights,Summit,Ohio,Rural,Freshwater Marsh,Natural,Permanent,Stream or River,"Large complex, multiple water sources",Park at gate on Stanford Road and walk,07:57 PM,08:00 PM,,3.9,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Some Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,
,Stanford (540),2017-03-20,41.27617,-81.557652,No,Boston Heights,Summit,Ohio,Rural,Freshwater Marsh,Natural,Permanent,Stream or River,"Large complex, multiple water sources",Park at gate on Stanford Road and walk,08:10 PM,08:13 PM,,7.2,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Some Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,Heard a lot of wood frogs and gray tree frogs before 8pm Then all became silent after it got dark
,Uniontown Community Park,2017-03-23,40.966135,-81.415049,No,Uniontown,stark,Ohio,Rural,Pond,Human-made,Permanent,Groundwater,"Permanent Pond,  Spring Water, Has aereator","3696 Apollo Drive NW, Uniontoen Ohio",09:43 PM,08:46 PM,,4.4,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,Some Precipitation,Above Freezing,Spring Peeper,1 - Individuals can be counted; there is space between calls,
,Uniontown Community Park Pond,2017-03-23,40.9661,-81.415,No,Uniontown,Stark,Ohio,Suburban,Pond,Human-made,Permanent,Precipitation or Runoff,,,09:43 PM,09:46 PM,,4.4,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,Some Precipitation,Above Freezing,Spring Peeper,1 - Individuals can be counted; there is space between calls,
,MCPD Chippewa Inlet North Vernal Pool 01,2017-03-22,41.113687,-81.920256,No,Medina,Medina,Ohio,Park,Vernal Pool,Artificially Altered,Temporary Every Year,Not Known,Medina County Park District Chippewa Inlet North. A small vernal pool that is part of a larger wetland restoration project.,Park at the Chippewa Inlet North parking lot. Take the trail south and veer right at the fork (following the Wetland Loop on the park district map).,08:49 PM,08:52 PM,,7.2,3 - GENTLE BREEZE:  leaves and twigs in constant motion; small flags extend,None,No Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,
,Cohan Park,2017-03-21,40.827108,-81.943105,No,Wooster,Wayne,Ohio,Suburban,Creek,Natural,Permanent,Not Known,4 ft wide shallow creek surrounded by dense vegetation as part of a city park,"Can be accessed from Eddy Rd across from Cohan Rd., or Miller Blvd.",08:15 PM,08:18 PM,,8.3,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,
,Price Park,2017-03-21,40.875318,-81.417596,No,North Canton,Stark,Ohio,Suburban,Pond,Not Known,Permanent,Pond,,,08:34 PM,08:37 PM,,10.6,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,No Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,
,Springfield Bog,2017-03-21,41.010423,-81.397717,No,Springfield,Summut,Ohio,Suburban,Bog or Fen,Not Known,Not Known,Groundwater,,,08:00 PM,08:03 PM,,11.7,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,No Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,
,Latta Lane,2017-03-20,41.28112,-81.553414,No,Boston Heights,Summit,Ohio,Rural,Vernal Pool,Artificially Altered,Permanent,Pond,Behing Brandywine Ski Hill,Gat on Stanford - Walk to Latta Lane,08:46 PM,08:49 PM,,7.2,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,Light Rain or Drizzle,Some Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,
,Latta Lane,2017-02-28,41.28112,-81.553414,No,Boston Heights,Summit,Ohio,Rural,Vernal Pool,Artificially Altered,Permanent,Pond,Behing Brandywine Ski Hill,Gat on Stanford - Walk to Latta Lane,07:10 PM,07:13 PM,,13.3,4 - MODERATE BREEZE: moves small branches; raises dust and loose paper,None,No Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,
,CUVA: Everett Swamp (332),2017-03-07,41.21201,-81.56607,No,Cuyahoga Falls,Summit,Ohio,Rural,Swamp or Woodland Swamp,Natural,Permanent,Stream or River,Buttonbush Swamp - Oxbow,Roadside parking or walk from Maintenace Yard/,08:37 PM,08:41 PM,,11.7,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,Medium Rain,Much Precipitation,Above Freezing,Wood Frog,"3 - Full chorus, calls are constant, continuous and overlapping",
,CUVA: Everett Swamp (332),2017-03-07,41.21201,-81.56607,No,Cuyahoga Falls,Summit,Ohio,Rural,Swamp or Woodland Swamp,Natural,Permanent,Stream or River,Buttonbush Swamp - Oxbow,Roadside parking or walk from Maintenace Yard/,08:37 PM,08:41 PM,,11.7,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,Medium Rain,Much Precipitation,Above Freezing,Spring Peeper,1 - Individuals can be counted; there is space between calls,
,mogadore reservoir,2017-03-07,41.068942,-81.368973,No,Mogadore,Summit,Ohio, ,Swamp or Woodland Swamp,Natural,Temporary Every Year,,It is the edge of the reservoir with a woods and a marsh connected to it,Near the intersection of Saxe Rd. and Sunnybrook Rd. there is a pull off on Sunnybrook that is closed off. It is an access road for the Park but now closed to traffic.,08:04 PM,08:07 PM,,13.9,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,Light Rain or Drizzle,Some Precipitation,,No Species Heard,0 - No frogs or toads can be heard calling.,I saw a nice healthy grey fox on the road near the site
,Long Lake channel,2017-03-07,41.018368,-81.546342,No,Akron,Summit,Ohio,Urban, ,Human-made,Permanent,,boat access area,On Cove blvd off of Manchester Rd.  near 277,08:28 PM,08:31 PM,,13.9,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,Light Rain or Drizzle,Some Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,Saw a beaver while there
,Long Lake channel,2017-02-24,41.018368,-81.546342,No,Akron,Summit,Ohio,Urban, ,Human-made,Permanent,,boat access area,On Cove blvd off of Manchester Rd.  near 277,07:30 PM,07:33 PM,,20.6,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,
,Wilbeth at Tow path,2017-03-07,41.039599,-81.539481,No,Akron,Summit,Ohio,Urban,,Human-made,Temporary Some Years,Precipitation or Runoff,Marshy area. It is dry some years,Go east on Wilbeth Ave from Manchester Rd.,08:41 PM,08:44 PM,,13.9,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,Light Rain or Drizzle,Some Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,
,"MCPD killbuck lakes west wetland 01
",2017-03-03,41.0048,-81.9745,No,lodi,medina,Ohio,Rural,Swamp or Woodland Swamp,Artificially Altered,Permanent,Groundwater,,,10:55 PM,10:58 PM,,23.9,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,Some Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,
,"MCPD killbuck lakes west wetland 01
",2017-02-24,41.0048,-81.9745,No,lodi,medina,Ohio,Rural,Swamp or Woodland Swamp,Artificially Altered,Permanent,Groundwater,,,08:01 PM,08:04 PM,,19.4,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,Some Precipitation,Above Freezing,Spring Peeper,1 - Individuals can be counted; there is space between calls,
,MCPD killbuck lakes west wetland 06,2017-03-03,41.0003,-81.975,No,lodi,medina,Ohio,Rural,Vernal Pool,Artificially Altered,Temporary Some Years,Groundwater,sand/gravel pit reclamation site,,11:27 PM,11:30 PM,,23.9,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,Some Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,dried up
,MCPD killbuck lakes west wetland 06,2017-02-24,41.0003,-81.975,No,lodi,medina,Ohio,Rural,Vernal Pool,Artificially Altered,Temporary Some Years,Groundwater,sand/gravel pit reclamation site,,08:39 PM,08:42 PM,,18.9,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,Some Precipitation,Above Freezing,Spring Peeper,2 - Calls of individuals can be distinguished but there is some overlapping of calls,
,Seneca Retention Pond,2017-03-02,41.316774,-81.691269,No,Broadview Heights ,Cuyahoga,Ohio,Suburban,Pond,Human-made,Permanent,Precipitation or Runoff,Retention Pond. Near wooded area and a tributary to Chippewa Creek,Located between Weeping Cherry Villiage and Seneca-Broadview Hills Apartments,07:20 PM,07:23 PM,,12.8,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,Some Precipitation,Not Noted,No Species Heard,0 - No frogs or toads can be heard calling.,
,MCPD plum creek  vernal pool 01,2017-02-28,41.211588,-81.808582,No,,brunswick,Ohio,Rural,Vernal Pool,Natural,Temporary Every Year,Precipitation or Runoff,high quality vernal pool in mature woods,,07:30 PM,07:33 PM,,12.8,3 - GENTLE BREEZE:  leaves and twigs in constant motion; small flags extend,None,Some Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,saw a few frogs but nobody singing
,McWetland,2017-02-28,41.05036,-81.912088,No,Medina,USA,Ohio,Rural,Swamp or Woodland Swamp,Not Known,Permanent,Stream or River,Large marshy area,,08:45 PM,08:48 PM,,6.1,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,No Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,I heard no frogs.
,CUVA: Shultz,2017-02-28,41.21978,-81.50507,No,Cuyahoga Falls,Summit,Ohio,Suburban,Vernal Pool,Natural,Temporary Every Year,Groundwater,Small pool,Access Road to Shultz,07:11 PM,07:14 PM,,11.7,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,Some Precipitation,Above Freezing,Wood Frog,"3 - Full chorus, calls are constant, continuous and overlapping",
,CUVA: Shultz,2017-02-28,41.21978,-81.50507,No,Cuyahoga Falls,Summit,Ohio,Suburban,Vernal Pool,Natural,Temporary Every Year,Groundwater,Small pool,Access Road to Shultz,07:11 PM,07:14 PM,,11.7,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,Some Precipitation,Above Freezing,Spring Peeper,1 - Individuals can be counted; there is space between calls,
,CUVA: Shultz,2017-02-24,41.21978,-81.50507,No,Cuyahoga Falls,Summit,Ohio,Suburban,Vernal Pool,Natural,Temporary Every Year,Groundwater,Small pool,Access Road to Shultz,07:45 PM,07:48 PM,,14.4,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,No Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,
,Springfield Lake Park,2017-02-28,41.035107,-81.442803,No,Akron,Summit,Ohio,Suburban,Lake,Not Known,Permanent,Lake,,,07:30 PM,07:33 PM,,13.3,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,Some Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,
,MCPD killbuck lakes east wetland 01,2017-02-24,41.0099,-81.9645,No,lodi,medina,Ohio,Rural,Freshwater Marsh,Artificially Altered,Not Known,Groundwater,sand/gravel pit reclamation site,,07:47 PM,07:50 PM,,19.4,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,Some Precipitation,Above Freezing,Western Chorus Frog,2 - Calls of individuals can be distinguished but there is some overlapping of calls,
,MCPD killbuck lakes east wetland 01,2017-02-24,41.0099,-81.9645,No,lodi,medina,Ohio,Rural,Freshwater Marsh,Artificially Altered,Not Known,Groundwater,sand/gravel pit reclamation site,,07:47 PM,07:50 PM,,19.4,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,Some Precipitation,Above Freezing,Spring Peeper,"3 - Full chorus, calls are constant, continuous and overlapping",
,MCPD killbuck lakes west wetland 03,2017-02-24,41.0021,-81.9757,No,lodi,medina,Ohio,Rural,Wet Meadow,Artificially Altered,Permanent,Groundwater,,,08:13 PM,08:16 PM,,18.9,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,Some Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,
,MCPD Killbuck Lakes North 01,2017-02-24,41.008,-81.98,No,burbank,medina,Ohio,Rural,Vernal Pool,Artificially Altered,Temporary Every Year,Precipitation or Runoff,seasonally wet area on edge of park along railroad,,09:24 PM,09:27 PM,,18.9,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,Some Precipitation,,No Species Heard,0 - No frogs or toads can be heard calling.,frogs heard passing by to do other stations but nobody singing when we came back to monitor
,MCPD Killbuck Lakes North Wetland 02,2017-02-24,41.008,-81.978,No,burbank,medina,Ohio,Rural,Swamp or Woodland Swamp,Artificially Altered,Permanent,Groundwater,small permanent pool in small woodland,,09:32 PM,09:35 PM,,18.9,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,Some Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,
,MCPD killbuck lakes North wetland 03,2017-02-24,41.011,-81.97,No,burbank,medina,Ohio,Rural,Vernal Pool,Artificially Altered,Temporary Some Years,Precipitation or Runoff,"edge of old wetland seperated by a dike, not sure if it dries out completely. shallow 3 feet at maximum, deep leaf layer surronde by small woods",,09:43 PM,09:46 PM,,18.9,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,Light Rain or Drizzle,Some Precipitation,Above Freezing,Western Chorus Frog,1 - Individuals can be counted; there is space between calls,
,MCPD killbuck lakes North wetland 03,2017-02-24,41.011,-81.97,No,burbank,medina,Ohio,Rural,Vernal Pool,Artificially Altered,Temporary Some Years,Precipitation or Runoff,"edge of old wetland seperated by a dike, not sure if it dries out completely. shallow 3 feet at maximum, deep leaf layer surronde by small woods",,09:43 PM,09:46 PM,,18.9,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,Light Rain or Drizzle,Some Precipitation,Above Freezing,Spring Peeper,"3 - Full chorus, calls are constant, continuous and overlapping",
,MCPD beehavenfarm wetland 01,2017-02-24,41.0163,-81.9392,No,seville,medina,Ohio,Rural,Vernal Pool,Human-made,Temporary Some Years,Groundwater,depression dug in creek valley april 2013,,07:25 PM,07:28 PM,,19.4,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,Some Precipitation,Above Freezing,Spring Peeper,"3 - Full chorus, calls are constant, continuous and overlapping",
